,text,label,n_tokens
0,Salamat po sa lahat ng bumoto para sa magandang kinabukasan ng ating bayan! Unity lang po ang sagot sa problema! BBM Sara 2022!,0,44
1,Lahat ng candidates may magagandang plataporma pero sana manalo yung may malinis na track record at tunay na nagmamahal sa bayan,0,40
2,"Tandaan po natin, sa eleksyon ang mahalaga ay ang integridad at tapat na paglilingkod sa bayan #Halalan2022",0,41
3,Sana lumabas lahat tayo para bumoto at gamitin ang boses natin para sa kinabukasan ng bansa ngayong eleksyon.,0,41
4,"Ang tunay na lider ay hindi nang-aaway, bagkus ay nakikinig sa boses ng taumbayan. #Halalan2022",0,40
5,"Ang boto natin ang magsisilbing boses ng bayan sa darating na halalan, kaya magdesisyon tayo nang tama para sa kinabukasan ng ating bansa.",0,49
6,"Sa pagsamahin nating lahat ang talento at dedikasyon, tiyak na magtatagumpay tayo sa nalalapit na eleksyon!",0,41
7,"Kahit di tayo magkasundo sa pulitika, dapat respetuhin pa rin natin ang boto ng isa't isa sa darating na halalan 2022.",0,46
8,"Mga kababayan, sa Mayo 9 tayo ay magkakaisa upang ihalal ang karapat dapat na pinuno na magsisilbi sa ating bansa. #Halalan2022",0,50
9,Kung gusto nyo po ng matinong pagbabago boboto po ako kay Leni Robredo at ang tropang angat,0,35
10,"Gobyerno para sa lahat, bumoto tayo ng maayos dahil kinabukasan ng bayan ang nakasalalay #Halalan2022",0,40
11,"Para sa ating mga kababayan malapit na ang eleksyon, tandaan na ang boto nyo ay boto para sa kinabukasan ng ating mga anak.",0,42
12,Unity ang kailangan natin kaya suportahan po natin si BBM para sa kinabukasan ng Pilipinas! BBM-Sara FTW,0,40
13,"Pag panalo ng manok namin, sisiguraduhin namin na tuloy tuloy ang pagbabago sa ating bayan - isang bayan na malaya sa kahirapan at korapsyon.",0,54
14,"Nakakaamaze ang plataporma ni Leni Robredo para sa ekonomiya, mabuting pamamahala at pagtulong sa mga mahihirap. Let Leni Lead!",0,48
15,"Para sa akin ang importante, tunay na pagbabago na may prinsipyo at maayos na pamamahala ng gobyerno, salamat sa lahat ng kandidato sa paglilingkod sa bayan.",0,55
16,Puro fake news mga pinagkakalat nila pero tayo mga kakampink lalaban tayo gamit ang facts at resibo para kay Leni! KakampinkForever,0,46
17,Dasal ko po na gabayan tayo ng Panginoon para sa darating na halalan at makapaili tayo ng tunay na lider para sa ating bayan.,0,45
18,"Mga kapatid, isip-isip din po tayo at bumoto nang tama para sa kinabukasan ng ating bansa - magbasa, magsaliksik, at magdesisyon nang may puso at utak.",0,61
19,Iboto po natin si Ka Leody na tunay na kumakatawan sa mga manggagawa at maralitang Pilipino para sa pagbabago.,0,44
20,Maraming mga nagkakampo na sa Plaza Miranda para sa grand rally ni Ka Leody de Guzman ngayong hapon!,0,36
21,"Ang boboto kay Isko Moreno ay pagasa sa bayan, bagong panukala at mga magagandang ideya.",0,35
22,"Ang ating mga kandidato ay may kanya-kanyang plataporma para sa pagbabago, kaya kailangan nating mag-isip at mamili nang mabuti!",0,47
23,Salamat po sa lahat ng nagvolunteer sa Leni-Kiko campaign rally sa BGC! Ang saya saya po ng energy at pakikiisa ng lahat para sa gobyernong tapat!,0,54
24,"Ingat po sa mga pupunta sa rally ng ating VPL sa Batangas, sana maging maayos ang ating kandidata at ang lahat ng supporters.",0,44
25,Sana manaig ang kabutihan sa darating na halalan at ihalal natin ang mga taong may paninindigan para sa bayan Let Leni Lead,0,43
26,Kayo po ang tataas ng boto ang MDS sa survey! Magandang balita sa bayan #Halalan2023,0,34
27,"Sana manalo si Pacquiao, magaling siya magsalita at naniniwala ako na may magagawa siya sa bayan natin",0,40
28,"Para sa ekonomiya ng bansa natin, pipiliin ko si Isko Moreno dahil sa magandang track record niya sa Manila.",0,37
29,Salamat sa bayan at sa mga tumulong - naging mapayapa ang eleksyon sa barangay namin. God bless Philippines! #Halalan2022,0,43
30,"Sa pagkakaisa at pagmamahal sa bayan, suportahan natin si Leni Kiko sa darating na halalan.",0,36
31,Sana sa darating na eleksyon piliin natin ang tunay na lider na magsisilbi sa bayan nang may puso at integridad.,0,41
32,Sana mapagisipan ng maayos ng mga Pilipino kung sino ang karapat dapat na maging pinuno ng bansa sa darating na eleksyon.,0,43
33,Salamat sa ating mga kapwa Pilipino na nagkakaisa para sa malinis na halalan - ang pagbabago ay nasa ating mga kamay. #Halalan2022,0,48
34,Suportahan natin ang eleksyon na ito dahil para sa kinabukasan ng bayan ang ating mga boto!,0,33
35,"Para sa kinabukasan ng ating bayan, bumoto ng tama sa Mayo 9 - ipaglaban ang ating karapatan sa malinis at tapat na halalan.",0,46
36,Patuloy tayong magdasal na magkaroon ng matuwid at mapayapang halalan para sa kinabukasan ng bayan PiliPinas2022,0,42
37,Pakinggan po natin ng mabuti ang plataporma ng bawat kandidato para sa isang mas maayos na halalan BBMSara2022,0,41
38,"Sa ganitong panahon, hindi pwedeng magsayang ng boto kaya magdesisyon tayo nang maayos para sa kinabukasan ng bayan.",0,44
39,"Salamat sa inyong pagboto, lagi'y manalig na may pag-asa ang Pilipinas kahit sino man ang maging Pangulo.",0,44
40,Pumunta ako sa miting de avance ni Ka Leody nung isang araw at napaka ganda ng plataporma nya para sa mahihirap.,0,41
41,"Anak ko sa angkan, tandaan niyo na ang pinaka-importante ay ang bumoto ayon sa konsensya para sa ikauunlad ng ating bayan!",0,44
42,"Mga supporters natin nagtitipon na sa EDSA para sa Kabataan Party list, napakaraming Pilipino ang nagkakaisa!",0,40
43,"Salamat sa lahat ng nag-attend ng Miting de Avance ng Team Leni Robredo, nagpakita kayo ng tunay na pagmamahal sa bayan! #Halalan2022",0,55
44,Humahanga ako sa political will ni Leni Robredo sa paglaban sa korapsyon at pagtulong sa mahihirap Leni For President,0,40
45,"Sa election na to, si Leody ang iboboto ko kasi talagang tinatrabaho niya ang plataporma para sa mahihirap.",0,39
46,Sana lumabas ang mga magulang ko para bumoto at mag-isip ng mabuti para sa kinabukasan ng ating bansa sa darating na halalan.,0,45
47,Kay Manny Pacquiao ako boboto kasi siya lang ang tunay na magmamalasakit sa mahihirap na Pilipino at bawal ang korapsyon sa kanya!,0,50
48,"Nakita ko ang grand rally ni Ka Leody de Guzman sa Cavite, ang galing ng mga plataporma para sa manggagawa at magsasaka",0,44
49,"Mula sa puso ang boto ko kay Leni, dahil naniniwala ako sa malinis na pamumuno at tunay na pagmamalasakit sa ating bansa.",0,47
50,Watch po natin bukas ang kilos protesta ng mga magigiting na manggagawa para sa tunay na pagbabago sa susunod na eleksyon!,0,42
51,"Maraming salamat sa ating mga kababayan na nagsama-sama sa miting de avance ni VP Leni Robredo, dito natin ipakita ang pagkakaisa para sa magandang kinabukasan!",0,58
52,"Para sa kapayapaan ng ating bansa, tumindig tayo bilang isang mamamayan para sa tunay na pagbabago mula sa mga may malinis na track record ngayong eleksyon.",0,53
53,Magsama-sama tayo sa pagsuporta sa mga kandidatong may malinis na track record at tunay na pagmamahal sa bayan RallyForChange2022,0,45
54,"VP Leni thank you po sa mga serbisyong totoo at tapat, naway mapaglingkuran nyo pa po ang ating bayan kahit hindi nanalo.",0,46
55,"Ngayon ay araw ng Halalan, magkaisa tayo para sa isang malinis at maayos na pagboto para sa kinabukasan ng ating bansa.",0,46
